"","Fitted","Actual","Date"
"141",275.233773948586,275.234123763159,"1761-09-15"
"142",276.274129193152,276.274138830624,"1761-10-15"
"143",277.281888481887,277.281701721775,"1761-11-15"
"144",277.921951192585,277.92182439798,"1761-12-15"
"145",278.385030511454,278.384992218383,"1762-01-15"
"146",278.770694013071,278.770656824385,"1762-02-15"
"147",279.115241512533,279.115189511784,"1762-03-15"
"148",279.35849811148,279.358421000429,"1762-04-15"
"149",279.305503826685,279.305391058333,"1762-05-15"
"150",278.576520884841,278.57635913484,"1762-06-15"
"151",276.940417241873,276.940256177759,"1762-07-15"
"152",275.341123045844,275.341150120722,"1762-08-15"
"153",275.304432604617,275.30464933387,"1762-09-15"
"154",276.344447306477,276.344445245203,"1762-10-15"
"155",277.351684012303,277.35152808224,"1762-11-15"
"156",277.991037126334,277.990961292057,"1762-12-15"
"157",278.453253751767,278.453281719504,"1763-01-15"
"158",278.837949160523,278.837992491689,"1763-02-15"
"159",279.181473836506,279.181516390117,"1763-03-15"
"160",279.423704191017,279.423735620343,"1763-04-15"
"161",279.369731688465,279.369741436088,"1763-05-15"
"162",278.639870033081,278.639844772402,"1763-06-15"
"163",277.00303866474,277.003028062801,"1763-07-15"
"164",275.40321999571,275.403410195504,"1763-08-15"
"165",275.366287625343,275.366618816868,"1763-09-15"
"166",276.406299095028,276.406314760581,"1763-10-15"
"167",277.413626270994,277.413453201214,"1763-11-15"
"168",278.053170683647,278.053062532891,"1763-12-15"
"169",278.515659827263,278.515644547514,"1764-01-15"
"170",278.900677251067,278.900667319237,"1764-02-15"
"171",279.244539104087,279.244518576617,"1764-03-15"
"172",279.487086899552,279.487045472259,"1764-04-15"
"173",279.433377082283,279.433304206933,"1764-05-15"
"174",278.703688310766,278.703570662738,"1764-06-15"
"175",277.066904973492,277.06679222024,"1764-07-15"
"176",275.466974183218,275.467052847812,"1764-08-15"
"177",275.429717072882,275.429960791242,"1764-09-15"
"178",276.46919743329,276.469187874082,"1764-10-15"
"179",277.475878890743,277.475703837821,"1764-11-15"
"180",278.11465267279,278.114551643507,"1764-12-15"
"181",278.576249751987,278.576247649963,"1765-01-15"
"182",278.96026585343,278.960274498264,"1765-02-15"
