datetime,carbon,temp
1899-08-15,295.34625011935884,13.777
1899-09-15,295.37729212331504,12.127999999999998
1899-10-15,295.4084559373859,9.408999999999999
1899-11-15,295.4396403305575,6.605
1899-12-15,295.4707086149217,3.005
1900-01-15,295.50171369182453,1.461
1900-02-15,295.532887987844,3.0980000000000003
1900-03-15,295.564307225536,5.492000000000001
1900-04-15,295.59591037121413,8.222999999999999
1900-05-15,295.627609280525,11.385
1900-06-15,295.6592312928684,13.293
1900-07-15,295.6903511321434,14.171
1900-08-15,295.720834344739,13.816
1900-09-15,295.7508224549945,11.955
1900-10-15,295.7802296728244,9.666
1900-11-15,295.80896328820535,5.8039999999999985
1900-12-15,295.8369345430651,3.655
1901-01-15,295.8641943723506,2.1910000000000003
1901-02-15,295.89092733382637,3.092
1901-03-15,295.9172488057813,5.671
1901-04-15,295.9432170187029,8.522
1901-05-15,295.96889919031423,11.177999999999999
1901-06-15,295.9943360930298,13.423
1901-07-15,296.01950350744823,14.339
1901-08-15,296.0444905224419,13.789
1901-09-15,296.069498592688,11.984000000000002
1901-10-15,296.0946610298454,9.003
1901-11-15,296.12008230590635,5.976
1901-12-15,296.1458350630179,3.335
1902-01-15,296.1720034343895,2.684
1902-02-15,296.1986811063324,3.606
1902-03-15,296.2259065728063,4.883
1902-04-15,296.25366697663014,7.955999999999999
1902-05-15,296.2819192232147,10.892999999999999
1902-06-15,296.31057866843366,13.214
1902-07-15,296.33936088359246,14.231
1902-08-15,296.36815222917954,13.599
1902-09-15,296.3970090470286,11.799
1902-10-15,296.42580086750115,8.801
1902-11-15,296.454440025072,5.274
1902-12-15,296.48288090397796,2.713
1903-01-15,296.5109795374475,2.5140000000000002
1903-02-15,296.5384998890032,3.555
1903-03-15,296.5653237051988,4.93
1903-04-15,296.5914380655237,7.831999999999999
1903-05-15,296.61686694858065,10.794
1903-06-15,296.6417078968565,12.886
1903-07-15,296.6659071008629,13.992
1903-08-15,296.68964404890085,13.412
1903-09-15,296.7133226124547,11.501
1903-10-15,296.7371383681005,8.812000000000003
1903-11-15,296.76133212650006,5.516
1903-12-15,296.786161074248,2.898
1904-01-15,296.8115738229245,1.6369999999999998
1904-02-15,296.83722493524226,2.297
1904-03-15,296.86296023288605,4.506
1904-04-15,296.8887880044074,7.6839999999999975
1904-05-15,296.9147207440107,10.84
1904-06-15,296.9408599425426,13.014
1904-07-15,296.96765128350523,13.836
1904-08-15,296.99510772501463,13.459
1904-09-15,297.02281035500175,11.380999999999998
1904-10-15,297.050670212474,8.833
1904-11-15,297.07859431796226,6.23
1904-12-15,297.10649755758584,3.3739999999999997
1905-01-15,297.1343714759487,2.254
1905-02-15,297.1622812087419,1.9269999999999998
1905-03-15,297.1902630030649,4.635
1905-04-15,297.21833029727793,7.754999999999999
1905-05-15,297.2465071401509,10.982
1905-06-15,297.27481028607053,13.112
1905-07-15,297.30328991253134,14.077
1905-08-15,297.3319903377271,13.578
1905-09-15,297.3609518194851,11.803999999999998
1905-10-15,297.3902535475677,9.041
1905-11-15,297.4199520660866,6.183
1905-12-15,297.4500787405368,3.354
1906-01-15,297.48072496314467,2.068
1906-02-15,297.5120383273103,2.301
1906-03-15,297.5440948192365,4.8660000000000005
1906-04-15,297.5769064005211,8.626
1906-05-15,297.6104626869621,11.239999999999998
1906-06-15,297.64470861828613,13.334
1906-07-15,297.67952083458897,14.122
1906-08-15,297.71481860616615,13.691
1906-09-15,297.7505649313033,11.771999999999998
1906-10-15,297.7866701232925,9.267
1906-11-15,297.82303931940237,5.501
