"","Fitted","Actual","Date"
"798",282.903284447781,282.903133424977,"1816-06-15"
"799",281.266786240353,281.266626629823,"1816-07-15"
"800",279.667409162045,279.667228990608,"1816-08-15"
"801",279.630747103564,279.630576752181,"1816-09-15"
"802",280.670530299714,280.670360463645,"1816-10-15"
"803",281.677708702425,281.677567262307,"1816-11-15"
"804",282.317377514764,282.317257505029,"1816-12-15"
"805",282.780036201477,282.779964946449,"1817-01-15"
"806",283.165222095282,283.165189623457,"1817-02-15"
"807",283.509314669776,283.509351227348,"1817-03-15"
"808",283.752232611715,283.752328369877,"1817-04-15"
"809",283.699029098269,283.69919422381,"1817-05-15"
"810",282.970018702118,282.970225331093,"1817-06-15"
"811",281.334113952003,281.334368861942,"1817-07-15"
"812",279.735431050304,279.73570855979,"1817-08-15"
"813",279.699543654855,279.699848496395,"1817-09-15"
"814",280.740138639421,280.740447047778,"1817-10-15"
"815",281.748144265931,281.748459178158,"1817-11-15"
"816",282.388613740549,282.38891307131,"1817-12-15"
"817",282.852024100421,282.852310308787,"1818-01-15"
"818",283.237869669769,283.238118754391,"1818-02-15"
"819",283.582509640501,283.582725926333,"1818-03-15"
"820",283.825818595457,283.825978989258,"1818-04-15"
"821",283.772824334346,283.772944994204,"1818-05-15"
"822",283.043846986947,283.0439261716,"1818-06-15"
"823",281.407843305956,281.407897442234,"1818-07-15"
"824",279.808941808819,279.808970300108,"1818-08-15"
"825",279.772758366953,279.772776567556,"1818-09-15"
"826",280.81299405291,280.813002371169,"1818-10-15"
"827",281.820617577166,281.820630425737,"1818-11-15"
"828",282.46069799769,282.460716665607,"1818-12-15"
"829",282.923751613611,282.923790422904,"1819-01-15"
"830",283.309288571624,283.309347312002,"1819-02-15"
"831",283.653708156023,283.653802601683,"1819-03-15"
"832",283.896900846883,283.897030905732,"1819-04-15"
"833",283.843937189617,283.844108169459,"1819-05-15"
"834",283.115120716155,283.11531593575,"1819-06-15"
"835",281.479384120189,281.479605747129,"1819-07-15"
"836",279.880833178753,279.88106571933,"1819-08-15"
"837",279.84505978733,279.845304296422,"1819-09-15"
"838",280.885742200219,280.885984226728,"1819-10-15"
"839",281.893825224894,281.894064846774,"1819-11-15"
"840",282.534355032204,282.534578712639,"1819-12-15"
"841",282.997824325614,282.998031778183,"1820-01-15"
"842",283.383719311941,283.383896279514,"1820-02-15"
"843",283.72841720436,283.728564107146,"1820-03-15"
"844",283.971783586719,283.971886590796,"1820-04-15"
"845",283.918864108679,283.918928210107,"1820-05-15"
"846",283.189957836912,283.189982758083,"1820-06-15"
"847",281.554024798715,281.554016907345,"1820-07-15"
"848",279.955174466569,279.955133903724,"1820-08-15"
"849",279.919024580286,279.918957321386,"1820-09-15"
"850",280.959258485059,280.959165038751,"1820-10-15"
"851",281.966845525161,281.966731522441,"1820-11-15"
"852",282.606838187126,282.606704458632,"1820-12-15"
"853",283.069752726322,283.069604931282,"1821-01-15"
"854",283.455082075554,283.454920306595,"1821-02-15"
"855",283.799226976075,283.799057605183,"1821-03-15"
"856",284.042060107545,284.041883270225,"1821-04-15"
"857",283.98865155097,283.988470247193,"1821-05-15"
"858",283.259297959001,283.259103393838,"1821-06-15"
"859",281.622944875282,281.622737589651,"1821-07-15"
"860",280.023692500174,280.023464287336,"1821-08-15"
"861",279.987144418189,279.986895267932,"1821-09-15"
"862",281.026974394741,281.026696616732,"1821-10-15"
"863",282.034137907075,282.033831007229,"1821-11-15"
"864",282.67367759159,282.673334332473,"1821-12-15"
"865",283.136096199012,283.135715883294,"1822-01-15"
"866",283.520876128961,283.520451232769,"1822-02-15"
"867",283.864405499749,283.86393560838,"1822-03-15"
"868",284.106545859096,284.106023661659,"1822-04-15"
"869",284.05235389567,284.051785393837,"1822-05-15"
"870",283.322130102812,283.32153569362,"1822-06-15"
"871",281.684874029378,281.684267249721,"1822-07-15"
"872",280.084708509359,280.084109324063,"1822-08-15"
"873",280.047289155965,280.046711506903,"1822-09-15"
"874",281.08631422022,281.085777692755,"1822-10-15"
"875",282.092789472771,282.092308364331,"1822-11-15"
"876",282.731783661436,282.7313772239,"1822-12-15"
"877",283.19384838005,283.193531371511,"1823-01-15"
"878",283.578493268362,283.578284189462,"1823-02-15"
"879",283.922154392175,283.922068714453,"1823-03-15"
"880",284.16472153142,284.164777407234,"1823-04-15"
"881",284.111300417115,284.11150470854,"1823-05-15"
"882",283.382201791151,283.382527554735,"1823-06-15"
